ID,YEAR,d15N,d13C,d2H,d18O,ZONE,Sex,Latitude,Longitude,Delete2
191,2007,20.2,-17,-73.1,5.6,WH,1,58.5,-93.1,0
192,2006,20.3,-17,-58.4,7.9,WH,1,58.5,-93.1,0
193,2006,20.3,-17,-56.9,8.6,WH,1,58.5,-93.1,0
194,2007,20.4,-17,-71.1,5.9,WH,1,58.5,-93.1,0
195,2005,20.5,-17,-63.1,9.1,WH,1,58.1,-92.9,0
196,2005,20.8,-17,-59.4,8.9,WH,1,59.2,-94.7,0
197,2015,21,-17,-64.24,8.143,WH,1,58.17,-92.87,0
198,2007,21.3,-17,-7.3,5.7,WH,1,58.5,-93.1,1
199,2007,21.4,-17,-53.9,7.1,WH,1,58.3,-93,0
200,2007,21.5,-17,-63.3,6,WH,1,57.5,-92.5,0
201,1997,20.1,-16.9,-80.63,8.27,LS,0,72.09,-93.509,0
202,2006,19,-16.9,-61.4,7.9,WH,0,58.3,-94,0
203,2005,19.2,-16.9,-61.3,8.5,WH,1,58.7,-93.2,0
204,2005,19.2,-16.9,-53.2,9.7,WH,0,58.7,-93.2,0
205,2005,19.5,-16.9,-66.1,7.6,WH,1,58.7,-93.2,0
206,2005,19.6,-16.9,NA,9.3,WH,1,57.2,-90.4,0
207,2006,19.7,-16.9,-57,9.9,WH,1,58.5,-93.1,0
208,2006,19.8,-16.9,-6.1,7.1,WH,1,58.5,-93.1,1
209,2005,19.9,-16.9,NA,8.5,WH,1,57.1,-91.4,0
210,2005,20,-16.9,-62.7,7.3,WH,1,58.5,-93.1,0
211,2006,20.1,-16.9,-61.2,8.1,WH,1,58.3,-93.6,0
212,2017,19.34,-16.88,NA,NA,DS,0,64.96,-66.33,0
213,1997,19.7,-16.8,-96.02,4.97,LS,0,72.46,-92.967,0
214,2005,19.2,-16.8,-6.4,7.5,WH,0,57.8,-93.4,1
215,2006,19.3,-16.8,-63.6,7,WH,1,58.6,-93.1,0
216,2005,19.7,-16.8,NA,8.1,WH,1,57.2,-91,0
217,2005,19.8,-16.8,-56,9.2,WH,1,58.7,-93.2,0
218,2005,19.9,-16.8,-53.4,9.2,WH,0,58.2,-93.7,0
219,2006,20,-16.8,-55.9,9,WH,1,58.2,-93.3,0
220,2005,20,-16.8,-52.4,9.7,WH,1,58.6,-93.1,0
221,2005,20.3,-16.8,-55,8.8,WH,1,58.2,-92.9,0
222,2005,20.5,-16.8,NA,9.5,WH,1,56.9,-89.3,0
223,2005,20.6,-16.8,-55.9,9.5,WH,1,58.7,-93.1,0
224,2007,20.9,-16.8,-52.7,8,WH,1,58.6,-93.1,0
225,2007,21.7,-16.8,-7.4,4.4,WH,1,58.6,-93.1,1
226,2007,21.8,-16.8,-66.8,6.5,WH,1,58.7,-93.2,0
227,2017,18.75,-16.71,NA,NA,FB,0,64.28,-76.69,0
228,2008,20.1,-16.7,-73.5,NA,FB,0,65.76,-84.6461,0
229,1997,19.3,-16.7,NA,NA,LS,0,73.04,-89.339,0
230,1991,20.4,-16.7,-75.07,5.37,LS,0,73.13,-90,0
231,2006,18.9,-16.7,-65.4,7,WH,1,58.7,-93.1,0
232,2006,19.7,-16.7,-64.5,6.7,WH,1,58.1,-92.8,0
233,2005,20.1,-16.7,NA,7.2,WH,1,57.2,-90.8,0
234,2006,20.1,-16.7,-71,7.4,WH,1,58.3,-93.3,0
235,2006,20.1,-16.7,-6.8,8,WH,1,57.7,-92.7,1
236,2005,20.1,-16.7,NA,9.5,WH,1,57.2,-90.4,0
237,2005,20.3,-16.7,-52.7,8.9,WH,1,58.4,-93.1,0
238,2007,20.8,-16.7,-48.1,8.9,WH,1,58.6,-93.1,0
239,2007,21.3,-16.7,-51.3,8.1,WH,1,58.1,-92.8,0
240,2016,19.66,-16.62,NA,NA,DS,1,65.71,-64.82,0
241,2005,17.9,-16.6,-66.268924,7.74328,BB,1,66.27,-62.4112,0
242,2005,18.4,-16.6,-59.7766,7.6797,DS,0,65.29,-63.3847,0
243,1997,19,-16.6,-98.25,6.58,LS,1,74.5,-97.948,0
244,1991,20.6,-16.6,-64.29,8.66,LS,0,74.93,-97.55,0
245,2006,19.7,-16.6,-64.5,6.5,WH,1,58.6,-93.1,0
246,2006,20.2,-16.6,-52.4,9.5,WH,1,58.5,-93.1,0
247,2006,20.3,-16.6,-55.4,8.1,WH,1,58.6,-93.1,0
248,2006,20.6,-16.6,-44.4,9.1,WH,1,58,-92.8,0
249,2005,18.4,-16.5,-62.724118,7.64318,BB,1,66.28,-62.0787,0
250,2005,18.9,-16.5,-64.7925,7.9119,DS,0,65.89,-62.8525,0
251,2008,19.9,-16.5,-9.2,NA,FB,0,69.72,-79.9326,1
252,1997,19.4,-16.5,NA,NA,LS,0,72.31,-93.663,0
253,1997,20,-16.5,-94.73,6.7,LS,0,74.65,-97.34,0
254,1997,20.5,-16.5,-83.85,7.94,LS,1,73.39,-89.903,0
255,2006,18.8,-16.5,-57,7.8,WH,0,57.8,-94,0
256,2005,20.1,-16.5,-48,9.1,WH,1,58.7,-93.2,0
257,2006,20.2,-16.5,-51.7,9.1,WH,1,58.1,-92.8,0
258,2005,20.4,-16.5,-58.1,8.6,WH,1,57.6,-92.6,0
259,2006,20.7,-16.5,-49.9,9,WH,1,58.4,-93.1,0
260,2016,19.78,-16.43,NA,NA,DS,1,65.33,-65.75,0
261,1992,18.8,-16.4,-77.92,6.05,BB,0,71.42,-69.65,0
262,2005,17.4,-16.4,-69.5032916,8.084754503,DS,0,61.36,-64.759,0
263,2005,19.1,-16.4,-64.671298,7.03348,DS,0,65.73,-62.9067,0
264,1997,19.5,-16.4,-80.67,6.81,LS,0,73.2,-96.828,0
265,1997,19.7,-16.4,NA,NA,LS,0,72.99,-91.542,0
266,2006,19.8,-16.4,-64.3,7,WH,1,58.6,-93.1,0
267,2006,20.5,-16.4,-51.9,7.2,WH,1,58.5,-93.1,0
268,2015,21.03,-16.36,NA,NA,BB,1,67.52,-64.0264,0
269,2016,19.41,-16.33,NA,NA,DS,0,55.4,-59.847,0
270,2016,18.98,-16.31,NA,NA,DS,1,65.63,-66,0
271,1997,17.8,-16.3,-59.33,7.64,BB,0,66.86,-61.946,0
272,1997,18.1,-16.3,-65.9,8.75,BB,0,72.2,-74.73,0
273,2005,18.8,-16.3,-71.837546,7.35744,DS,0,65.92,-62.4295,0
274,1997,19.6,-16.3,NA,NA,LS,0,73.25,-89.116,0
275,1997,19.45,-16.27,-68.29,5.94,BB,0,71.11,-70.829,0
276,2016,19.4,-16.27,NA,NA,DS,1,65.66,-66.8,0
277,1991,17.7,-16.2,-71.99,9.21,BB,0,73.38,-77.067,0
278,1992,17.9,-16.2,-71.41,6.17,BB,0,66.92,-62.567,0
279,1997,19.4,-16.2,-53.05,7.07,BB,1,67.2,-62.521,0
280,2005,18.5,-16.2,-60.1738,8.145,DS,0,65.62,-62.4417,0
281,2005,18.8,-16.2,-55.752588,9.21202,DS,0,65.87,-62.3033,0
282,2005,18.9,-16.2,-67.1197,5.6354,DS,0,65.91,-62.8437,0
283,1997,19.9,-16.2,NA,NA,LS,0,72.8,-91.954,0
284,1997,20,-16.2,NA,NA,LS,0,72.76,-96.453,0
285,1997,20.8,-16.2,NA,NA,LS,0,74.95,-99.502,0
286,1997,20.9,-16.2,NA,NA,LS,1,73.35,-91.011,0
287,1997,21.2,-16.2,NA,NA,LS,0,75.97,-94.547,0
288,2016,19.08,-16.19,NA,NA,DS,1,66.03,-67,0
